Regression,Ologit Group,Variable (concept),Raw survey variable,Reference question (latest available wording),2013 column,2013 answers,2014 column,2014 answers,2015 column,2015 answers,2016 column,2016 answers,2017 column,2017 answers
Events (separate regression),social pressure,pressure_age,YAS_BASKI,B53.3 Yaşınızdan dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_3,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_3,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,YAS_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,YAS_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,YAS_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),social pressure,pressure_tradition,GELENEK_GORENEK,B53.4 Gelenek göreneklerinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_4,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_4,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,GELENEK_GORENEK,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,GELENEK_GORENEK,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,GELENEK_GORENEK,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),social pressure,pressure_religious_belief,DINI_INANCDAN,B53.5 Dini inanç ve davranışlarınızdan dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_5,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_5,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,DINI_INANCDAN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,DINI_INANCDAN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,DINI_INANCDAN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),social pressure,pressure_political_view,SIYASI_GORUSTEN,B53.6 Siyasi görüşünüzden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_6,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_6,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,SIYASI_GORUSTEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,SIYASI_GORUSTEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,SIYASI_GORUSTEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),social pressure,pressure_hometown,MEMLEKETINDEN,B53.7 Memleketinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_7,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_7,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,MEMLEKETINDEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,MEMLEKETINDEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,MEMLEKETINDEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),social pressure,pressure_job,ISINDEN_DOLAYI,B53.8 İşinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_8,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_8,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,ISINDEN_DOLAYI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,ISINDEN_DOLAYI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,ISINDEN_DOLAYI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),social pressure,pressure_clothing,KILIK_KIYAFET,B53.9 Kılık kıyafetinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_9,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_9,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,KILIK_KIYAFET,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,KILIK_KIYAFET,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,KILIK_KIYAFET,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),social pressure,pressure_unemployment,ISSIZ_OLMA,"B53.10 İşsiz, çalışmıyor olmaktan dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?",b53_10,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_10,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,ISSIZ_OLMA,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,ISSIZ_OLMA,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,ISSIZ_OLMA,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),social pressure,pressure_income_level,GELIR_DUZEY_DURUM,B53.11 Gelir düzeyinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_11,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,b53_11,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,GELIR_DUZEY_DURUM,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,GELIR_DUZEY_DURUM,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,GELIR_DUZEY_DURUM,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman
Events (separate regression),crime / victimization,crime_bag_snatching,KAPKAC,"B33.1 2013 yılında kapkaç, yankesicilik vb hırsızlık olayı yaşadınız mı?",b33_1,1 Evet; 2 Hayır,b33_1,1 Evet; 2 Hayır,KAPKAC,1 Evet; 2 Hayır,KAPKAC,1 Evet; 2 Hayır [KAPKAC=2 ise B33.2'ye geçiniz],KAPKAC,1 Evet; 2 Hayır [KAPKAC=2 ise B34.2'ye geçiniz]
