coefficients|estimate_2013|z_2013|estimate_2014|z_2014|estimate_2015|z_2015|estimate_2016|z_2016|estimate_2017|z_2017
wellbeing_ladderWellbeing Ladder: 10|0,38550670334808|TRUE|0,526401674192282|FALSE|0,889130958250363|TRUE|0,592758593507553|FALSE|0,712698807475024|TRUE
wellbeing_ladderWellbeing Ladder: 2|0,135350838239781|TRUE|0,139543084842571|FALSE|0,060667846287612|FALSE|0,0363013550228703|FALSE|0,179882494021708|FALSE
wellbeing_ladderWellbeing Ladder: 3|0,127040255161767|TRUE|0,18647412237977|FALSE|0,102361287821127|FALSE|0,282337884456533|FALSE|0,21365097607362|FALSE
wellbeing_ladderWellbeing Ladder: 4|0,135148570534198|TRUE|0,28573458586749|FALSE|0,0723809692732823|FALSE|0,117895053259544|FALSE|0,282819998952502|FALSE
wellbeing_ladderWellbeing Ladder: 5|0,0817118783348835|TRUE|0,260785279388873|FALSE|0,126778517304763|FALSE|0,222455666745976|FALSE|0,456424166866239|TRUE
wellbeing_ladderWellbeing Ladder: 6|0,275300741872274|TRUE|0,493706753588777|TRUE|0,308643287916719|FALSE|0,241503563247404|FALSE|0,659799879593406|TRUE
wellbeing_ladderWellbeing Ladder: 7|0,396027512890769|TRUE|0,930488760171997|TRUE|0,845125249133739|TRUE|0,466292115529336|TRUE|0,787479987126098|TRUE
wellbeing_ladderWellbeing Ladder: 8|0,420863153389613|TRUE|1,00877627954762|TRUE|0,485043971158479|TRUE|0,467069681990131|FALSE|1,06542030186182|TRUE
wellbeing_ladderWellbeing Ladder: 9|0,624055377928606|TRUE|0,710751429771115|TRUE|0,513891693352685|FALSE|0,715941970462655|TRUE|0,795437737955576|TRUE
went_into_debtYes|-0,177121522679114|TRUE|-0,126238826117371|TRUE|-0,2066496669084|TRUE|-0,246846004902739|TRUE|-0,178069396645881|TRUE
