year|ym|ud|ssb|ssbi|ssbn|sm|is|income|od|state|bel|shm|guv|comm|nwb|iwb|happy_share|gnh|happy3_share|gnhf|nwbf|iwbf
2004|0.634155483322529|0.577832677947641|0.594345603005525|0.624052905597493|0.562081547466479|0.634441114978526|0.496027041603505|0.425891077701733|0.735230816340795|0.576455755036232|0.673738115571298|0.467214013119414|0.594526951368826|0.704060951896259|0.586336579097091|0.593773770063196|0.319061460564997|0.546999607830022|0.210359124236297|0.509910994739656|0.598650505190918|0.616714034749732
2005|0.62743764233094|0.575998168188847|0.567320662944477|0.601627629015877|0.528867869400924|0.634319086590737|0.496667925417354|0.401703320488953|0.718725154277338|0.587068819143933|0.674498844817711|0.548732553289109|0.578810592427314|0.701413390971191|0.595301364324022|0.583526499988906|0.332396674375799|0.552315451788274|0.206487274889547|0.508056260023257|0.59898111597899|0.60901597957663
2006|0.629734165478902|0.564517056937067|0.50335967086326|0.56883562188249|0.4225897187818|0.629598982205158|0.525902569885762|0.412294231801076|0.744696790628137|0.594585395866591|0.65468483596895|0.559176783880609|0.600237465808935|0.704045825432547|0.582324432665286|0.580457296377811|0.324844581536738|0.550048683625816|0.182056123631537|0.500320623088956|0.567629308709634|0.606439256596663
2007|0.639069390581247|0.598434819020672|0.544679545881722|0.590964286279618|0.488258277490979|0.648013721559149|0.53555779304463|0.421918558594389|0.743845840980652|0.633696905651346|0.70061970098367|0.634647898466333|0.627629094676736|0.714028928451933|0.627841711287805|0.597228939818752|0.413062590853973|0.611239769309167|0.240130161239955|0.550141078326139|0.616832529431067|0.622508771281003
2008|0.619017014345948|0.563888750153153|0.395093393492667|0.480958089599387|0.283020802312966|0.64125957561516|0.525908181406456|0.430772996503244|0.737161509222059|0.619485594410478|0.70309418477287|0.628921916585945|0.628495703862987|0.708677034209988|0.587717241486548|0.571162953495233|0.336456387070627|0.563123498773777|0.180392742788837|0.508061377426442|0.553714600936179|0.602501190672814
2009|0.610653200239969|0.5693127523711|0.465029029801884|0.519863926179426|0.38216707578419|0.637179789143172|0.524568068220312|0.381814420374899|0.763067202495754|0.626473931972193|0.694696326558993|0.658485064530568|0.635700469850443|0.705558158751873|0.618373831398638|0.567395020689431|0.35995747989817|0.579150926975747|0.198892337663267|0.521906753536942|0.595896644624398|0.598707039928553
2010|0.643917241189856|0.618937528998049|0.57022411060343|0.59883159135283|0.530464192537067|0.657238466405752|0.575436358555832|0.417427298309963|0.759156900870745|0.648648782691091|0.708218095237302|0.67862840042609|0.654914047371933|0.71073744234041|0.656525182473571|0.604367347527226|0.454655217714914|0.645096377168034|0.273283343500079|0.581062134102366|0.64729775207451|0.628088876559679
2011|0.647100333551594|0.630788490607008|0.576394449618395|0.602312285012643|0.544264322366344|0.655553673289679|0.57222740331757|0.430626627862766|0.786295164824557|0.657167023297603|0.710176987786579|0.676088244615878|0.661907795087318|0.707579518726267|0.662907333166625|0.608288734086846|0.482495525102167|0.66436171454204|0.298511680283339|0.599675638497594|0.653455677089947|0.63003018824521
2012|0.643622795476871|0.638555418431166|0.56953745878834|0.59959695292075|0.529052345668016|0.660677574790215|0.582087885713892|0.438546983172974|0.802637778320474|0.654280201858373|0.714098920183065|0.686364342819049|0.663226769840635|0.706843961251123|0.663584410940539|0.611325907524778|0.48550287295573|0.667574704195153|0.302211295736473|0.602900582453967|0.65138984724464|0.632813243403422
2013|0.638135516321885|0.63548344618167|0.589352748341724|0.613717768318814|0.558812268194275|0.657940916340984|0.665672353211412|0.394429371138594|0.793939146886889|0.65867174411834|0.563221321384341|0.755505377917069|0.655152200462604|0.710624008731162|0.651425063223513|0.609900139852755|0.485628953175937|0.668895607901298|0.303730388431926|0.60523714507188|0.617073477426107|0.632146127897011
2015|0.626483386851352|0.577072363768962|0.626415309760358|0.651296660196756|0.596805879388837|0.648516403472228|0.655443594882267|0.440479325223384|0.810609904888487|0.650001270972015|0.566451261196762|0.673788877202578|0.640204393933111|0.70081407996569|0.640734568858138|0.608490465949216|0.412518284621279|0.614959936973721|0.257107765996223|0.561174284694614|0.617680994975711|0.628404344230773
2016|0.642287726755812|0.5893131737833|0.610434139773715|0.652521055482167|0.5532966221979|0.66710399837611|0.680176124881404|0.466580200685614|0.815663965752476|0.669457732654006|0.583087195376812|0.699437940552939|0.652731130246249|0.70925956564962|0.648045791021809|0.623409687826654|0.46915656209729|0.654903679219467|0.303555238681202|0.597584873742368|0.618161705191842|0.64274735975952
2017|0.630272595039322|0.577394168791458|0.552507624599317|0.609163427882815|0.47290323076346|0.653521921467294|0.670453727826876|0.472564957985827|0.788690024201824|0.644721992883523|0.557487736205561|0.668360115017087|0.643344937192248|0.703542188498317|0.615697760585056|0.610691095131277|0.403545449559485|0.611323761532919|0.253779009530416|0.560445732636121|0.579451462513222|0.631008631236497
