year|psychological_wellbeing|health|education|time_use|good_governance|community_vitality|ecological_diversity|living_standards|job_satisfaction|gnh
2013|0,614374773086093|0,501605623715734|0,454376221357841|0,610431563305876|0,58325903813205|0,766244909726338|0,674111166559371|0,518698981861737|0,680346924827906|0,607268300676034
2014|0,599826498804587|0,386688522084349|0,456280345432522|0,589944479829786|0,554161589974239|0,747229314476165|0,638081119677374|0,514061848238519|0,680762446924479|0,580187531057093
2015|0,601777875310168|0,40141739633917|0,454473788962577|0,593225938164092|0,567628042525065|0,740948041695734|0,632838647000691|0,50412540803975|0,682049534810526|0,581838079843435
2016|0,615800450269563|0,406425119304888|0,475554241813768|0,614833870743133|0,586501407362038|0,762143434172269|0,654569678148651|0,535747675295817|0,69241372468798|0,60067536236114
2017|0,603833381915395|0,394199902641272|0,46476826091102|0,596105178855186|0,558267968973646|0,751898148914795|0,633922538375594|0,533569880109711|0,686443264611145|0,586592080593721
