coefficients|estimate_2013|z_2013|estimate_2014|z_2014|estimate_2015|z_2015|estimate_2016|z_2016|estimate_2017|z_2017
income_sufficiencyNot Satisfied from Income Sufficiency|-0,0486437917065975|TRUE|0,0841055918684612|FALSE|-0,148751517914142|TRUE|-0,118822394572207|FALSE|-0,0395449044564643|FALSE
income_sufficiencyNot Satisfied from Income Sufficiency At All|-0,0778256298682255|TRUE|0,0576532461023828|FALSE|-0,0917871120254835|FALSE|-0,383792461489799|TRUE|-0,218549482786301|TRUE
income_sufficiencySatisfied from Income Sufficiency|0,360911915296516|TRUE|0,436527194204191|TRUE|0,233681745228341|TRUE|0,228093101485331|TRUE|0,198660026637787|TRUE
income_sufficiencyVery Satisfied from Income Sufficiency|0,419290869788762|TRUE|0,238322845301544|FALSE|0,543207830195271|TRUE|0,0874331445502383|FALSE|0,449836742593765|TRUE
is_faced_with_a_housing_issueYes|-0,0659836580394777|TRUE|-0,161624800437992|TRUE|-0,0587064344019072|FALSE|-0,0367282840659027|FALSE|-0,142693889486524|TRUE
leisure_satisfactionNot Satisfied from Leisure|-0,161676126347665|TRUE|-0,223320655681761|TRUE|-0,183166696893508|TRUE|-0,177814766365203|FALSE|-0,0342306115784149|FALSE
leisure_satisfactionNot Satisfied from Leisure At All|-0,225989057733281|TRUE|0,00415438203518511|FALSE|-0,417029088194248|TRUE|-0,271193439474947|FALSE|-0,342159488502421|FALSE
leisure_satisfactionSatisfied from Leisure|0,174612842848823|TRUE|0,152710343615671|FALSE|0,0853605011174457|FALSE|0,0635895188185411|FALSE|0,365564769005691|TRUE
leisure_satisfactionVery Satisfied from Leisure|0,307954203692853|TRUE|0,358813524067738|FALSE|0,428872938860336|FALSE|0,00254775185630576|FALSE|0,530117326800515|TRUE
marital_status_satisfactionHappily Married|0,836168492136506|TRUE|0,97391367488034|TRUE|0,870622144157929|TRUE|0,747424388353037|TRUE|0,902867507295334|TRUE
marital_status_satisfactionNeutral Married|-0,525838967219286|TRUE|-0,58144542644014|TRUE|-0,385109409817771|TRUE|-0,713750675216369|TRUE|-0,342421073485733|FALSE
marital_status_satisfactionOther|-0,0100402199690887|FALSE|-0,0273107710547879|FALSE|0,0911600555371437|FALSE|-0,281691210766334|TRUE|0,069366933485636|FALSE
marital_status_satisfactionUnhappily Married|-0,54292881897179|TRUE|-0,556754422015414|FALSE|-0,576761111483109|TRUE|-1,075051282684|TRUE|-0,743739332096962|TRUE
materialismMaterialistic|-0,332287230987707|TRUE|-0,507310476120243|TRUE|-0,421716033374104|TRUE|-0,410515401008095|TRUE|-0,303796580038838|TRUE
religiosityReligious|0,17786214363412|TRUE|0,118980925134708|FALSE|-0,161132694924919|FALSE|0,147188350644288|FALSE|0,235655099612477|TRUE
religiositySomewhat Religious|0,0201793735246715|FALSE|-0,137792674940413|FALSE|-0,158152904211632|FALSE|0,0399911596384172|FALSE|0,0598767702018664|FALSE
safety_around_homeNot Satisfied from Safety Around Home|0,145959103138687|TRUE|0,0960234552396866|FALSE|0,124289064420968|FALSE|-0,0480196142833598|FALSE|0,112303571172693|FALSE
safety_around_homeNot Satisfied from Safety Around Home At All|0,16598755620568|TRUE|0,111829399331166|FALSE|0,237820604403508|FALSE|0,0571198212841079|FALSE|0,0939370756025835|FALSE
safety_around_homeSatisfied from Safety Around Home|0,208509885274984|TRUE|0,132332161613284|FALSE|0,237463778587498|TRUE|0,191419087615225|TRUE|0,166430809219996|TRUE
safety_around_homeVery Satisfied from Safety Around Home|0,0956581776095822|TRUE|-0,0338282507321348|FALSE|0,207347037386354|FALSE|0,303843474053866|TRUE|0,0767960345913974|FALSE
safety_at_homeNot Satisfied from Safety at Home|0,345561786460991|TRUE|0,259330543757207|FALSE|0,255086605238319|TRUE|0,377781646516386|TRUE|0,438105973402224|TRUE
safety_at_homeNot Satisfied from Safety at Home At All|0,154966584524303|TRUE|-0,0282160250103463|FALSE|0,383642526416619|FALSE|0,164865804435973|FALSE|0,0292919497189493|FALSE
safety_at_homeSatisfied from Safety at Home|0,465134400657157|TRUE|0,359531900399642|TRUE|0,471633796253799|TRUE|0,47099168201414|TRUE|0,269071150638045|TRUE
safety_at_homeVery Satisfied from Safety at Home|0,340049438764746|TRUE|0,438818183440148|TRUE|0,46107881597106|TRUE|0,289139209180827|TRUE|0,210283471028506|FALSE
social_life_satisfactionNot Satisfied from Social Life|-0,103904770052778|TRUE|-0,18587690524286|TRUE|-0,0876713705093678|FALSE|-0,206423678226411|TRUE|-0,181745624441165|TRUE
social_life_satisfactionNot Satisfied from Social Life At All|-0,149723061882625|TRUE|-0,291517136028391|FALSE|0,172458117732002|FALSE|-0,239582473349799|FALSE|-0,172705374640882|FALSE
social_life_satisfactionSatisfied from Social Life|0,24144447821396|TRUE|0,106624704957524|FALSE|0,329484639995754|TRUE|0,265771148757112|TRUE|0,213097295904106|TRUE
social_life_satisfactionVery Satisfied from Social Life|0,467851448476897|TRUE|0,695864270871814|TRUE|0,172372117222599|FALSE|0,724091844331806|TRUE|0,379439236679064|FALSE
wellbeing_ladderWellbeing Ladder: 1|0,0740632975266356|TRUE|0,00304080169558538|FALSE|0,0705687293371751|FALSE|-0,148078347936871|FALSE|0,0562697642167873|FALSE
wellbeing_ladderWellbeing Ladder: 10|0,421010311014037|TRUE|0,534607163899592|FALSE|0,939283712845646|TRUE|0,699587558884913|TRUE|0,727969917712404|TRUE
wellbeing_ladderWellbeing Ladder: 2|0,144118410498572|TRUE|0,132390672428818|FALSE|0,0719564278858703|FALSE|0,0691488559134083|FALSE|0,19262699517208|FALSE
wellbeing_ladderWellbeing Ladder: 3|0,134679461428692|TRUE|0,188452556485976|FALSE|0,115132356055356|FALSE|0,316877434241648|FALSE|0,224545590187768|FALSE
wellbeing_ladderWellbeing Ladder: 4|0,146776503420611|TRUE|0,295602190503407|FALSE|0,0808822211059387|FALSE|0,168097272912998|FALSE|0,29778186440152|FALSE
wellbeing_ladderWellbeing Ladder: 5|0,0967296136688308|TRUE|0,271408044166923|FALSE|0,136373949576954|FALSE|0,269929313532094|FALSE|0,4707188871489|TRUE
wellbeing_ladderWellbeing Ladder: 6|0,293623800294328|TRUE|0,516895236371554|TRUE|0,319661417617926|FALSE|0,305391413769697|FALSE|0,678644724229992|TRUE
wellbeing_ladderWellbeing Ladder: 7|0,41967022608801|TRUE|0,946533195267339|TRUE|0,86062727617731|TRUE|0,535115104409537|TRUE|0,807840845136261|TRUE
wellbeing_ladderWellbeing Ladder: 8|0,449892532104976|TRUE|1,0478806665255|TRUE|0,494513960624318|TRUE|0,551417449046004|TRUE|1,07767488196454|TRUE
wellbeing_ladderWellbeing Ladder: 9|0,650761188914732|TRUE|0,734451812979413|TRUE|0,548722707095572|FALSE|0,77521113090404|TRUE|0,825450386247858|TRUE
