year,happiness,gdp_pc
2003,,4637.9
2004,0.634155483322529,5960.8
2005,0.62743764233094,7303
2006,0.629734165478902,7953.1
2007,0.639069390581247,9711.2
2008,0.619017014345948,10843.5
2009,0.610653200239969,9013
2010,0.643917241189856,10622.7
2011,0.647100333551594,11300.8
2012,0.643622795476871,11713.3
2013,0.638135516321885,12578.2
2014,0.624433065683029,12165.2
2015,0.626483386851354,11050
2016,0.626483386851354,10970
2017,0.630272595039317,10695.6
